replicate,uav_estimate_x_m,uav_estimate_y_m,uav_error_xy_m,target_raw_x_m,target_raw_y_m,target_raw_error_xy_m,target_bias_corrected_x_m,target_bias_corrected_y_m,target_bias_corrected_error_xy_m
96,0.9498534908494163,3.7655913429855827,0.04209064626574094,0.8034098915177221,4.715463336538564,0.17404725303078317,0.9190516880343325,4.849749387651539,0.014254099380255108
97,1.0115098095003323,3.788494657963047,0.02664612960995422,0.9012163986962298,4.75214407761246,0.10389041599785487,1.0168581952128402,4.8864301287254355,0.11478856973359704
98,0.9681477737376174,3.784291360510757,0.01735674414829634,0.7912165157451818,4.7796624508804,0.1379696947691038,0.9068583122617921,4.913948501993375,0.05803734208433501
99,1.0110870937484837,3.804162967023377,0.030313220057629917,0.6967621727922736,4.735294066461001,0.24168903038676762,0.8124039693088839,4.869580117573976,0.09478625279650285
100,0.994078306584832,3.7744446783223675,0.017182779595566192,0.7902716319609373,4.720908896143179,0.1779494475127904,0.9059134284775476,4.855194947256154,0.000774884507526916
101,0.962806507008049,3.772681399917241,0.02741103298022036,0.7164656007324611,4.677567014859143,0.26039798025877325,0.8321073972490715,4.811853065972119,0.08620416717198746
102,0.9645282621455334,3.7805284513293755,0.02201394020259927,0.7468177565060494,4.643660363958818,0.2654330139632025,0.8624595530226598,4.777946415071794,0.0893997223062522
103,0.9732777423424533,3.798366489386984,0.014932869853543453,0.7736403494021737,4.721470798486001,0.1888048613839603,0.8892821459187841,4.8557568495989765,0.016918592276692356
104,0.9673580096252187,3.7788019733365834,0.02023787224862376,0.720004525800502,4.771972942026061,0.2042425172418197,0.8356463223171123,4.906258993139036,0.08667381260371208
105,0.9889605101648496,3.791216581472007,0.0046785236573221355,0.7468489625924235,4.704952842837441,0.21950465575574285,0.8624907591090338,4.839238893950417,0.046782333248194065
106,0.9666370265284145,3.770515409824108,0.025926715349874188,0.763743524219572,4.7733937167326745,0.16463168627623664,0.8793853207361824,4.90767976784565,0.058297763489925006
107,0.987280092684302,3.788263217798885,0.0025084253217957076,0.7714929887366583,4.705636457495346,0.20181572596474834,0.8871347852532686,4.839922508608321,0.0248845090690063
108,0.9855074286142074,3.7956625808513333,0.00674280311491506,0.8070024548844413,4.788465921158867,0.11995631222496829,0.9226442514010517,4.9227519722718425,0.06883028757205527
109,0.9684354677749317,3.7796119253354425,0.018900201139021314,0.7950921239691714,4.685746498352868,0.20322953245741326,0.9107339204857817,4.820032549465844,0.03616765207688892
110,0.9951081514736366,3.7769009787177734,0.015813073476056035,0.8974827905446308,4.700064117029018,0.15609437627208853,1.013124587061241,4.834350168141993,0.10907751694565758
111,1.0047510782423374,3.792636817046641,0.020222384491094682,0.7781449473838006,4.756452831704813,0.16214437474166488,0.8937867439004109,4.8907388828177885,0.03697024683240805
112,0.9845191035719225,3.789427046397099,0.0005906004266099204,0.7618586708349152,4.711772684752386,0.20398871459352663,0.8775004673515255,4.846058735865362,0.03034480218861936
113,1.0046027789345042,3.792729769626825,0.020093864926550582,0.8369581781528103,4.720763186825955,0.15185655646450053,0.9525999746694206,4.855049237938931,0.04640804896864208
114,0.9761717915681241,3.779240023623759,0.01303473330046113,0.7878256600614896,4.763789045709027,0.1499988540244386,0.9034674565780999,4.898075096822002,0.04224866303018261
115,0.9909205697475114,3.8164454833431467,0.028153668455136532,0.8748149247846423,4.777606286082531,0.084363860510674,0.9904567213012526,4.911892337195506,0.10115665709195552
116,0.9913243104225967,3.7857626682001633,0.007200683117925579,0.8039914040680456,4.653353357162878,0.2268871374341095,0.9196332005846559,4.7876394082758535,0.06958442912404704
117,1.007818201370205,3.7829967947337626,0.02371021694473918,0.7951503528016229,4.702130005229854,0.1896887346131479,0.9107921493182333,4.83641605634283,0.020032286200190083
118,0.9921990594554988,3.7946814181436985,0.009305776245526191,0.8386580178477856,4.692809265406333,0.1765371499346615,0.9542998143643959,4.8270953165193085,0.05607281129014601
